Maricopa County Block Groups GEO_ID,Geographic Area Name,Total,White,Black,Latitutde,Longitude,Native American,Asian,Pacific Islander,Other,Two Race
040134225032,"Block Group 2, Census Tract 4225.03, Maricopa County, Arizona",1836,1141,88,33.39065,-111.784191,22,44,9,443,89
040134225033,"Block Group 3, Census Tract 4225.03, Maricopa County, Arizona",1862,1401,56,33.382382,-111.776613,25,31,12,235,102
040134225034,"Block Group 4, Census Tract 4225.03, Maricopa County, Arizona",1316,942,42,33.383952,-111.784818,32,13,2,212,73
040134225041,"Block Group 1, Census Tract 4225.04, Maricopa County, Arizona",1317,1074,25,33.382132,-111.764337,22,72,3,87,34
040134225042,"Block Group 2, Census Tract 4225.04, Maricopa County, Arizona",1610,1234,45,33.389877,-111.766959,37,12,1,183,98
040134225043,"Block Group 3, Census Tract 4225.04, Maricopa County, Arizona",1744,1399,110,33.390704,-111.757059,24,59,4,82,66
040134225061,"Block Group 1, Census Tract 4225.06, Maricopa County, Arizona",2008,1667,63,33.373464,-111.765067,21,53,3,132,69
040134225062,"Block Group 2, Census Tract 4225.06, Maricopa County, Arizona",402,355,10,33.375503,-111.75813,1,18,2,7,9
040134225063,"Block Group 3, Census Tract 4225.06, Maricopa County, Arizona",807,751,5,33.369595,-111.771038,1,19,1,23,7
040134225064,"Block Group 4, Census Tract 4225.06, Maricopa County, Arizona",530,427,16,33.366341,-111.764531,14,16,6,41,10
040134225065,"Block Group 5, Census Tract 4225.06, Maricopa County, Arizona",1325,1151,44,33.36932,-111.759267,8,15,6,56,45
040134225071,"Block Group 1, Census Tract 4225.07, Maricopa County, Arizona",1947,1655,38,33.37525,-111.744941,5,86,6,72,85
040134225072,"Block Group 2, Census Tract 4225.07, Maricopa County, Arizona",1627,1462,38,33.368706,-111.750817,13,34,1,51,28
040134225073,"Block Group 3, Census Tract 4225.07, Maricopa County, Arizona",949,849,9,33.367472,-111.742667,3,34,8,16,30
040134225081,"Block Group 1, Census Tract 4225.08, Maricopa County, Arizona",1652,1444,22,33.375163,-111.781297,8,14,6,112,46
040134225082,"Block Group 2, Census Tract 4225.08, Maricopa County, Arizona",2018,1717,65,33.36856,-111.783264,22,33,0,117,64
040134225091,"Block Group 1, Census Tract 4225.09, Maricopa County, Arizona",2312,1893,79,33.354968,-111.76021,20,106,4,114,96
040134225092,"Block Group 2, Census Tract 4225.09, Maricopa County, Arizona",788,690,17,33.362697,-111.761528,0,39,0,26,16
040134225093,"Block Group 3, Census Tract 4225.09, Maricopa County, Arizona",2013,1702,51,33.355194,-111.767659,15,62,10,124,49
040134225101,"Block Group 1, Census Tract 4225.10, Maricopa County, Arizona",1515,1245,44,33.355274,-111.751373,18,90,3,58,57
040134225102,"Block Group 2, Census Tract 4225.10, Maricopa County, Arizona",764,715,8,33.357251,-111.743039,1,9,0,16,15
040134225103,"Block Group 3, Census Tract 4225.10, Maricopa County, Arizona",1137,982,18,33.361683,-111.752708,16,52,5,33,31
040134225111,"Block Group 1, Census Tract 4225.11, Maricopa County, Arizona",1536,1253,31,33.339062,-111.764935,20,71,1,97,63
040134225112,"Block Group 2, Census Tract 4225.11, Maricopa County, Arizona",1508,1259,34,33.346424,-111.760271,11,59,5,65,75
040134225121,"Block Group 1, Census Tract 4225.12, Maricopa County, Arizona",2240,1834,66,33.339179,-111.74401,30,65,3,162,80
040134225122,"Block Group 2, Census Tract 4225.12, Maricopa County, Arizona",2797,2413,43,33.34393,-111.748087,17,113,7,118,86
040134225131,"Block Group 1, Census Tract 4225.13, Maricopa County, Arizona",799,765,8,33.403856,-111.739566,2,11,0,3,10
040134225132,"Block Group 2, Census Tract 4225.13, Maricopa County, Arizona",1925,1709,66,33.404045,-111.748639,19,11,16,58,46
040134225133,"Block Group 3, Census Tract 4225.13, Maricopa County, Arizona",1556,1297,50,33.397394,-111.749176,22,30,2,83,72
040134225141,"Block Group 1, Census Tract 4225.14, Maricopa County, Arizona",2112,1764,104,33.388435,-111.742778,33,27,4,105,75
040134225142,"Block Group 2, Census Tract 4225.14, Maricopa County, Arizona",2240,1763,108,33.386668,-111.750605,26,64,5,203,71
040134226061,"Block Group 1, Census Tract 4226.06, Maricopa County, Arizona",3539,3137,68,33.349724,-111.728089,15,179,7,48,85
040134226062,"Block Group 2, Census Tract 4226.06, Maricopa County, Arizona",2356,2053,31,33.359471,-111.710178,16,86,2,85,83
040134226063,"Block Group 3, Census Tract 4226.06, Maricopa County, Arizona",3240,2706,55,33.351445,-111.713384,17,290,12,85,75
040134226071,"Block Group 1, Census Tract 4226.07, Maricopa County, Arizona",1711,1575,49,33.402168,-111.722109,6,8,0,42,31
040134226072,"Block Group 2, Census Tract 4226.07, Maricopa County, Arizona",1332,1258,21,33.397158,-111.732372,5,7,1,23,17
040134226073,"Block Group 3, Census Tract 4226.07, Maricopa County, Arizona",1105,1068,18,33.405683,-111.731558,1,6,0,5,7
040134226091,"Block Group 1, Census Tract 4226.09, Maricopa County, Arizona",2676,2212,31,33.402343,-111.671733,30,26,1,319,57
040134226092,"Block Group 2, Census Tract 4226.09, Maricopa County, Arizona",1143,1014,17,33.399713,-111.680238,7,25,4,47,29
040134226101,"Block Group 1, Census Tract 4226.10, Maricopa County, Arizona",1165,1141,5,33.40036,-111.65375,3,4,0,1,11
040134226102,"Block Group 2, Census Tract 4226.10, Maricopa County, Arizona",1874,1799,26,33.400546,-111.662546,6,11,0,18,14
040134226151,"Block Group 1, Census Tract 4226.15, Maricopa County, Arizona",2112,1733,57,33.38428,-111.608578,32,87,7,102,94
040134226152,"Block Group 2, Census Tract 4226.15, Maricopa County, Arizona",2131,1697,53,33.402897,-111.610091,30,64,9,184,94
040134226153,"Block Group 3, Census Tract 4226.15, Maricopa County, Arizona",2455,2011,109,33.399739,-111.602513,26,83,0,134,92
040134226161,"Block Group 1, Census Tract 4226.16, Maricopa County, Arizona",2439,1901,92,33.401019,-111.593742,45,66,15,177,143
040134226162,"Block Group 2, Census Tract 4226.16, Maricopa County, Arizona",2074,1823,59,33.400387,-111.584672,20,26,2,95,49
040134226171,"Block Group 1, Census Tract 4226.17, Maricopa County, Arizona",1331,1056,46,33.367278,-111.675869,11,39,6,118,55
040134226172,"Block Group 2, Census Tract 4226.17, Maricopa County, Arizona",1929,1700,62,33.372819,-111.68296,9,46,4,63,45
040134226173,"Block Group 3, Census Tract 4226.17, Maricopa County, Arizona",936,790,35,33.377219,-111.673255,4,28,7,18,54
040134226174,"Block Group 4, Census Tract 4226.17, Maricopa County, Arizona",1670,1357,63,33.372225,-111.67517,11,42,0,119,78
040134226181,"Block Group 1, Census Tract 4226.18, Maricopa County, Arizona",1507,1492,3,33.371999,-111.656924,2,8,0,1,1
040134226182,"Block Group 2, Census Tract 4226.18, Maricopa County, Arizona",1447,1427,4,33.371009,-111.66491,1,2,0,4,9
040134226201,"Block Group 1, Census Tract 4226.20, Maricopa County, Arizona",1603,1405,40,33.373899,-111.732895,7,49,2,49,51
040134226202,"Block Group 2, Census Tract 4226.20, Maricopa County, Arizona",1658,1426,21,33.371757,-111.725416,15,63,0,78,55
040134226211,"Block Group 1, Census Tract 4226.21, Maricopa County, Arizona",843,646,13,33.376039,-111.715992,9,122,0,26,27
040134226212,"Block Group 2, Census Tract 4226.21, Maricopa County, Arizona",1768,1467,59,33.36919,-111.71622,14,114,9,61,44
040134226213,"Block Group 3, Census Tract 4226.21, Maricopa County, Arizona",1691,1456,31,33.369962,-111.707903,12,77,0,65,50
040134226221,"Block Group 1, Census Tract 4226.22, Maricopa County, Arizona",1879,1601,30,33.367999,-111.698359,29,53,2,104,60
040134226222,"Block Group 2, Census Tract 4226.22, Maricopa County, Arizona",2101,1808,47,33.37157,-111.696362,12,65,0,96,73
040134226223,"Block Group 3, Census Tract 4226.22, Maricopa County, Arizona",257,234,0,33.374338,-111.691111,0,10,0,12,1
040134226231,"Block Group 1, Census Tract 4226.23, Maricopa County, Arizona",2343,1856,173,33.361208,-111.691844,13,81,3,149,68
040134226232,"Block Group 2, Census Tract 4226.23, Maricopa County, Arizona",2469,1971,31,33.356918,-111.701134,14,289,2,67,95
040134226241,"Block Group 1, Census Tract 4226.24, Maricopa County, Arizona",1776,1743,12,33.412427,-111.721208,9,6,0,1,5
040134226242,"Block Group 2, Census Tract 4226.24, Maricopa County, Arizona",995,976,2,33.411099,-111.732208,1,4,0,6,6
